combo,iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,mean_rmse_cv,std_rmse_cv,sharpe,dir_acc_pct,mae_pct,profit_factor,TP,TN,FP,FN,accuracy,elapsed_s
125,100000,6,0.1,15.0,1.0,0.005198979424510531,0.0008365777476881982,0.02646374340692943,50.91374893253629,100.14225022357725,1.0851607900592488,4838,1124,4657,1091,0.509137489325363,3.2
25,100000,8,0.1,25.0,1.5,0.005198623918075793,0.0008359236902559437,0.02631714961541919,51.21263877028181,100.07890909211967,1.0846694189312986,4771,1226,4555,1158,0.5121263877028182,6.3
26,10000,8,0.1,25.0,1.0,0.005198623918075793,0.0008359236902559437,0.02631714961541919,51.21263877028181,100.07890909211967,1.0846694189312986,4771,1226,4555,1158,0.5121263877028182,6.2
118,2000,8,0.1,25.0,1.0,0.005198623918075793,0.0008359236902559437,0.02631714961541919,51.21263877028181,100.07890909211967,1.0846694189312986,4771,1226,4555,1158,0.5121263877028182,6.5
20,100000,6,0.03,7.0,1.5,0.005198577004948794,0.000836250439135368,0.026229903033258617,51.36635354397951,100.10253033683188,1.0843770823061836,4569,1446,4335,1360,0.513663535439795,3.9
55,100000,6,0.05,25.0,0.5,0.005197834341963206,0.0008367120413481766,0.02621558969462569,51.306575576430404,100.0551922169369,1.0843291303210447,4948,1060,4721,981,0.513065755764304,3.7
93,2000,6,0.05,25.0,0.5,0.005197834341963206,0.0008367120413481766,0.02621558969462569,51.306575576430404,100.0551922169369,1.0843291303210447,4948,1060,4721,981,0.513065755764304,4.1
110,5000,8,0.03,3.0,1.0,0.0052004399852002975,0.0008357456853916201,0.0262105018996964,51.06746370623399,100.04201788899283,1.0843120859087307,4860,1120,4661,1069,0.5106746370623398,6.0
126,5000,6,0.005,20.0,0.5,0.005197711472165542,0.0008368660002864553,0.026188924700567242,51.306575576430404,100.00890259881336,1.0842398040444576,4742,1266,4515,1187,0.513065755764304,11.1
77,100000,8,0.005,7.0,1.0,0.0051999063229449406,0.000837287130092165,0.026000112780507702,51.53714773697694,99.9781243413202,1.083607508049666,4393,1642,4139,1536,0.5153714773697694,14.5
3,2000,6,0.01,5.0,0.5,0.005198756628035489,0.0008369305907436097,0.025971890459137243,50.98206660973526,100.06869897169481,1.0835130289009665,4932,1038,4743,997,0.5098206660973527,5.0
129,2000,6,0.1,11.0,1.0,0.005200070898143643,0.0008369686844909099,0.025882273670179288,50.96498719043553,100.20356814470664,1.0832130764689492,4906,1062,4719,1023,0.5096498719043553,3.3
