start_ms,open,high,low,close,volume,turnover,timestamp
1769126400000,2950.91,2955.99,2944.37,2952.0,10454.66,30845110.6876,2026-01-23 00:00:00+00:00
1769130000000,2952.0,2968.71,2951.74,2967.56,18480.1,54694421.8948,2026-01-23 01:00:00+00:00
1769133600000,2967.56,2971.12,2951.01,2951.19,20754.54,61468844.6713,2026-01-23 02:00:00+00:00
1769137200000,2951.19,2964.2,2950.0,2963.11,7829.81,23162907.9421,2026-01-23 03:00:00+00:00
1769140800000,2963.11,2984.03,2961.02,2976.42,39682.92,118019201.0214,2026-01-23 04:00:00+00:00
1769144400000,2976.42,2977.0,2961.86,2966.8,25028.32,74318145.8226,2026-01-23 05:00:00+00:00
1769148000000,2966.8,2973.92,2936.2,2938.44,45288.09,133571740.0592,2026-01-23 06:00:00+00:00
1769151600000,2938.44,2949.97,2933.2,2946.19,34300.68,100905832.4681,2026-01-23 07:00:00+00:00
1769155200000,2946.19,2949.29,2920.52,2926.0,45304.36,132796484.1836,2026-01-23 08:00:00+00:00
1769158800000,2926.0,2934.13,2913.92,2919.65,36797.65,107579478.0586,2026-01-23 09:00:00+00:00
1769162400000,2919.65,2933.69,2913.92,2929.43,22562.22,65979084.0785,2026-01-23 10:00:00+00:00
1769166000000,2929.43,2945.38,2927.18,2939.46,22047.86,64777630.0072,2026-01-23 11:00:00+00:00
1769169600000,2939.46,2939.46,2927.47,2933.43,18137.43,53214553.1771,2026-01-23 12:00:00+00:00
1769173200000,2933.43,2943.61,2925.01,2929.27,25381.32,74496973.8516,2026-01-23 13:00:00+00:00
1769176800000,2929.27,2940.96,2890.1,2914.52,119820.13,348762204.4394,2026-01-23 14:00:00+00:00
1769180400000,2914.52,2964.54,2897.01,2950.96,98829.17,289888328.7019,2026-01-23 15:00:00+00:00
1769184000000,2950.96,2979.28,2937.16,2966.69,110055.4,325884137.7011,2026-01-23 16:00:00+00:00
1769187600000,2966.69,3019.12,2958.6,2986.2,128226.74,383779278.3454,2026-01-23 17:00:00+00:00
1769191200000,2986.2,3006.97,2976.45,2987.33,62953.22,188200867.9655,2026-01-23 18:00:00+00:00
1769194800000,2987.33,2987.76,2944.64,2958.27,88888.19,263576611.7262,2026-01-23 19:00:00+00:00
1769198400000,2958.27,2962.63,2927.55,2938.96,49826.83,146586509.741,2026-01-23 20:00:00+00:00
1769202000000,2938.96,2951.86,2936.96,2942.25,13539.57,39882759.7843,2026-01-23 21:00:00+00:00
1769205600000,2942.25,2960.98,2941.84,2958.73,22483.37,66423785.0424,2026-01-23 22:00:00+00:00
1769209200000,2958.73,2958.73,2949.01,2954.77,10793.3,31873469.1288,2026-01-23 23:00:00+00:00
1769212800000,2954.77,2957.68,2948.0,2949.25,12607.72,37232017.5735,2026-01-24 00:00:00+00:00
1769216400000,2949.25,2957.89,2948.2,2954.52,6243.97,18442214.6994,2026-01-24 01:00:00+00:00
1769220000000,2954.52,2960.98,2952.94,2957.8,6079.68,17978640.4005,2026-01-24 02:00:00+00:00
1769223600000,2957.8,2968.67,2955.43,2960.8,13400.42,39701819.1023,2026-01-24 03:00:00+00:00
1769227200000,2960.8,2965.0,2957.75,2961.95,10157.74,30075081.8879,2026-01-24 04:00:00+00:00
1769230800000,2961.95,2964.29,2954.98,2959.91,8980.98,26586790.7638,2026-01-24 05:00:00+00:00
1769234400000,2959.91,2962.5,2957.0,2959.91,4066.62,12037085.912,2026-01-24 06:00:00+00:00
1769238000000,2959.91,2960.62,2951.95,2955.78,10416.03,30794521.3045,2026-01-24 07:00:00+00:00
1769241600000,2955.78,2962.16,2952.54,2961.79,8251.31,24398742.6166,2026-01-24 08:00:00+00:00
1769245200000,2961.79,2963.41,2958.41,2959.58,4682.61,13864670.0118,2026-01-24 09:00:00+00:00
1769248800000,2959.58,2960.98,2957.24,2960.27,3813.48,11283770.5605,2026-01-24 10:00:00+00:00
1769252400000,2960.27,2963.01,2959.0,2959.51,6301.05,18658835.9829,2026-01-24 11:00:00+00:00
1769256000000,2959.51,2963.72,2957.74,2961.22,6919.66,20482293.7806,2026-01-24 12:00:00+00:00
1769259600000,2961.22,2962.3,2946.12,2947.38,15015.0,44349136.5558,2026-01-24 13:00:00+00:00
1769263200000,2947.38,2958.65,2941.95,2958.14,26631.49,78583311.027,2026-01-24 14:00:00+00:00
1769266800000,2958.14,2966.8,2952.42,2955.42,23896.93,70734684.7705,2026-01-24 15:00:00+00:00
1769270400000,2955.42,2960.83,2949.91,2957.4,14409.23,42584544.3575,2026-01-24 16:00:00+00:00
1769274000000,2957.4,2964.96,2956.52,2962.7,7465.16,22105927.3429,2026-01-24 17:00:00+00:00
1769277600000,2962.7,2967.0,2960.69,2962.04,5232.24,15504812.6514,2026-01-24 18:00:00+00:00
1769281200000,2962.04,2962.73,2951.38,2952.5,7565.75,22359963.1928,2026-01-24 19:00:00+00:00
1769284800000,2952.5,2957.42,2952.01,2954.99,3258.87,9629797.4574,2026-01-24 20:00:00+00:00
1769288400000,2954.99,2956.53,2947.21,2956.53,11137.57,32875075.5272,2026-01-24 21:00:00+00:00
1769292000000,2956.53,2963.42,2956.53,2961.88,9496.3,28110699.3512,2026-01-24 22:00:00+00:00
1769295600000,2961.88,2963.48,2950.97,2952.0,8109.71,23957300.3593,2026-01-24 23:00:00+00:00
1769299200000,2952.0,2957.42,2950.86,2957.4,5140.89,15184126.6284,2026-01-25 00:00:00+00:00
1769302800000,2957.4,2959.0,2948.48,2953.76,12532.15,37004999.4986,2026-01-25 01:00:00+00:00
1769306400000,2953.76,2956.57,2951.44,2951.63,5127.88,15148041.1266,2026-01-25 02:00:00+00:00
1769310000000,2951.63,2952.83,2935.18,2941.28,17893.18,52635851.2407,2026-01-25 03:00:00+00:00
1769313600000,2941.28,2949.3,2938.8,2943.9,11976.06,35260706.2001,2026-01-25 04:00:00+00:00
1769317200000,2943.9,2947.84,2940.6,2945.81,5586.24,16448197.013,2026-01-25 05:00:00+00:00
1769320800000,2945.81,2947.01,2933.23,2942.88,17588.23,51691489.179,2026-01-25 06:00:00+00:00
1769324400000,2942.88,2942.88,2936.7,2938.07,6040.32,17757551.4514,2026-01-25 07:00:00+00:00
1769328000000,2938.07,2943.52,2919.02,2927.62,33580.65,98389623.3007,2026-01-25 08:00:00+00:00
1769331600000,2927.62,2938.62,2925.18,2934.59,17878.73,52433913.2771,2026-01-25 09:00:00+00:00
1769335200000,2934.59,2947.66,2934.26,2943.67,18329.22,53923534.8494,2026-01-25 10:00:00+00:00
1769338800000,2943.67,2945.34,2930.69,2936.19,16778.85,49281843.5676,2026-01-25 11:00:00+00:00
1769342400000,2936.19,2943.77,2931.2,2941.29,17615.42,51747576.0943,2026-01-25 12:00:00+00:00
1769346000000,2941.29,2944.44,2933.75,2940.35,9775.58,28740857.2515,2026-01-25 13:00:00+00:00
1769349600000,2940.35,2941.81,2923.02,2930.83,27778.81,81400952.1925,2026-01-25 14:00:00+00:00
1769353200000,2930.83,2935.21,2920.53,2925.49,12863.34,37663716.4899,2026-01-25 15:00:00+00:00
1769356800000,2925.49,2926.28,2874.42,2895.38,167210.03,484227955.0003,2026-01-25 16:00:00+00:00
1769360400000,2895.38,2896.89,2877.0,2882.72,31522.6,90980877.524,2026-01-25 17:00:00+00:00
1769364000000,2882.72,2887.49,2825.66,2846.33,182736.12,521195376.9333,2026-01-25 18:00:00+00:00
1769367600000,2846.33,2852.2,2794.01,2811.11,139580.22,393436138.7856,2026-01-25 19:00:00+00:00
1769371200000,2811.11,2822.0,2785.0,2808.05,89275.4,249984172.5384,2026-01-25 20:00:00+00:00
1769374800000,2808.05,2823.93,2800.14,2817.24,50203.67,141272526.2383,2026-01-25 21:00:00+00:00
1769378400000,2817.24,2817.72,2788.0,2806.17,45782.33,128299736.2624,2026-01-25 22:00:00+00:00
1769382000000,2806.17,2820.71,2785.06,2815.61,57397.19,160971516.1315,2026-01-25 23:00:00+00:00
1769385600000,2815.61,2846.15,2811.02,2840.53,74945.32,212110362.7883,2026-01-26 00:00:00+00:00
1769389200000,2840.53,2897.5,2836.33,2881.33,89202.35,256210738.9484,2026-01-26 01:00:00+00:00
1769392800000,2881.33,2884.4,2862.17,2864.79,42194.63,121184606.9413,2026-01-26 02:00:00+00:00
1769396400000,2864.79,2871.38,2840.0,2850.0,35180.73,100370435.4627,2026-01-26 03:00:00+00:00
1769400000000,2850.0,2874.75,2848.77,2864.91,32455.73,92933855.8184,2026-01-26 04:00:00+00:00
1769403600000,2864.91,2872.01,2859.01,2868.55,11824.95,33889602.6483,2026-01-26 05:00:00+00:00
1769407200000,2868.55,2891.0,2865.15,2890.09,30361.38,87419239.5598,2026-01-26 06:00:00+00:00
1769410800000,2890.09,2910.0,2884.69,2903.08,48742.25,141227171.1401,2026-01-26 07:00:00+00:00
1769414400000,2903.08,2933.57,2895.43,2911.2,75113.86,219043721.5425,2026-01-26 08:00:00+00:00
1769418000000,2911.2,2912.81,2879.35,2884.44,56247.06,162648665.3402,2026-01-26 09:00:00+00:00
1769421600000,2884.44,2900.53,2883.39,2894.91,18440.89,53368543.3805,2026-01-26 10:00:00+00:00
1769425200000,2894.91,2899.98,2887.02,2891.33,13984.21,40451176.5491,2026-01-26 11:00:00+00:00
1769428800000,2891.33,2914.62,2891.08,2901.28,29395.69,85370819.2437,2026-01-26 12:00:00+00:00
1769432400000,2901.28,2910.28,2895.29,2908.43,18299.38,53159813.701,2026-01-26 13:00:00+00:00
1769436000000,2908.43,2934.29,2872.93,2921.36,187310.51,544036700.4882,2026-01-26 14:00:00+00:00
1769439600000,2921.36,2951.63,2884.5,2898.02,167406.0,488849867.9576,2026-01-26 15:00:00+00:00
1769443200000,2898.02,2916.83,2890.3,2900.15,64817.86,188296197.5313,2026-01-26 16:00:00+00:00
1769446800000,2900.15,2914.87,2883.89,2908.4,60267.88,174667975.2896,2026-01-26 17:00:00+00:00
1769450400000,2908.4,2932.16,2906.8,2931.24,58965.09,172173829.774,2026-01-26 18:00:00+00:00
1769454000000,2931.24,2935.94,2916.04,2922.0,25152.97,73642370.919,2026-01-26 19:00:00+00:00
1769457600000,2922.0,2928.37,2896.57,2900.1,37681.58,109708828.6376,2026-01-26 20:00:00+00:00
1769461200000,2900.1,2944.05,2892.72,2927.44,62022.26,181480415.6608,2026-01-26 21:00:00+00:00
1769464800000,2927.44,2936.85,2918.07,2925.39,26219.96,76737514.1744,2026-01-26 22:00:00+00:00
1769468400000,2925.39,2944.8,2916.55,2928.91,30925.89,90673035.365,2026-01-26 23:00:00+00:00
1769472000000,2928.91,2929.87,2916.01,2919.19,13210.67,38601921.6548,2026-01-27 00:00:00+00:00
1769475600000,2919.19,2939.0,2911.0,2931.17,27360.74,80090701.5104,2026-01-27 01:00:00+00:00
1769479200000,2931.17,2946.85,2931.11,2944.01,21061.29,61892553.2008,2026-01-27 02:00:00+00:00
1769482800000,2944.01,2947.77,2935.0,2939.73,13676.39,40220525.3595,2026-01-27 03:00:00+00:00
1769486400000,2939.73,2956.03,2934.58,2939.16,25707.38,75745800.0909,2026-01-27 04:00:00+00:00
1769490000000,2939.16,2940.85,2932.03,2938.14,9506.99,27916263.8099,2026-01-27 05:00:00+00:00
1769493600000,2938.14,2941.95,2923.04,2927.88,17472.12,51176944.8321,2026-01-27 06:00:00+00:00
1769497200000,2927.88,2936.1,2925.69,2927.68,16442.76,48200627.629,2026-01-27 07:00:00+00:00
1769500800000,2927.68,2931.49,2918.08,2921.79,18547.77,54231684.4523,2026-01-27 08:00:00+00:00
1769504400000,2921.79,2921.79,2905.31,2906.39,28449.12,82856506.7712,2026-01-27 09:00:00+00:00
1769508000000,2906.39,2914.39,2900.0,2902.08,20161.36,58604609.2638,2026-01-27 10:00:00+00:00
1769511600000,2902.08,2921.4,2898.0,2915.51,25529.05,74312223.747,2026-01-27 11:00:00+00:00
1769515200000,2915.51,2926.7,2913.5,2916.81,27369.91,79916489.9566,2026-01-27 12:00:00+00:00
1769518800000,2916.81,2917.92,2903.93,2911.1,18562.36,54029270.827,2026-01-27 13:00:00+00:00
1769522400000,2911.1,2942.54,2905.0,2917.25,70882.26,207189916.1633,2026-01-27 14:00:00+00:00
1769526000000,2917.25,2940.84,2911.0,2936.21,53166.76,155550720.2478,2026-01-27 15:00:00+00:00
1769529600000,2936.21,2997.99,2933.37,2989.87,170504.06,507185136.6748,2026-01-27 16:00:00+00:00
1769533200000,2989.87,2994.05,2915.69,2928.86,162731.91,478874905.317,2026-01-27 17:00:00+00:00
1769536800000,2928.86,2989.07,2924.56,2976.68,75966.15,224604409.9336,2026-01-27 18:00:00+00:00
1769540400000,2976.68,2991.35,2964.51,2979.23,51232.5,152551105.7988,2026-01-27 19:00:00+00:00
1769544000000,2979.23,3028.0,2977.21,3019.73,127596.27,383807864.6995,2026-01-27 20:00:00+00:00
1769547600000,3019.73,3029.95,3004.14,3014.57,44322.7,133707424.2683,2026-01-27 21:00:00+00:00
1769551200000,3014.57,3022.25,3002.81,3017.79,32465.29,97831583.9925,2026-01-27 22:00:00+00:00
1769554800000,3017.79,3033.76,3009.27,3024.65,35240.8,106539775.9602,2026-01-27 23:00:00+00:00
1769558400000,3024.65,3028.95,3013.98,3023.09,18843.55,56918338.2342,2026-01-28 00:00:00+00:00
1769562000000,3023.09,3025.86,3005.64,3016.74,29999.54,90394450.6499,2026-01-28 01:00:00+00:00
1769565600000,3016.74,3017.2,3004.03,3009.35,12935.06,38935274.4926,2026-01-28 02:00:00+00:00
1769569200000,3009.35,3010.99,2995.34,3003.64,23298.9,69935163.8666,2026-01-28 03:00:00+00:00
1769572800000,3003.64,3005.34,2991.46,2998.21,16118.01,48297950.2587,2026-01-28 04:00:00+00:00
1769576400000,2998.21,3007.95,2994.72,3002.85,25669.89,77002017.8286,2026-01-28 05:00:00+00:00
1769580000000,3002.85,3017.25,3001.31,3012.9,26273.07,79098094.0537,2026-01-28 06:00:00+00:00
1769583600000,3012.9,3013.87,3000.28,3003.91,15273.72,45915188.3336,2026-01-28 07:00:00+00:00
1769587200000,3003.91,3005.33,2986.8,2989.06,30171.36,90320407.2655,2026-01-28 08:00:00+00:00
1769590800000,2989.06,3016.57,2985.0,3016.33,48964.38,146985522.9254,2026-01-28 09:00:00+00:00
1769594400000,3016.33,3039.18,3011.7,3024.84,65060.62,196763071.405,2026-01-28 10:00:00+00:00
1769598000000,3024.84,3045.0,3013.38,3038.65,51609.92,156514950.9034,2026-01-28 11:00:00+00:00
1769601600000,3038.65,3039.74,3022.29,3030.2,47506.12,143982261.4597,2026-01-28 12:00:00+00:00
1769605200000,3030.2,3045.81,3028.24,3033.45,34157.78,103726156.2516,2026-01-28 13:00:00+00:00
1769608800000,3033.45,3033.63,3005.21,3011.19,62722.54,189380758.843,2026-01-28 14:00:00+00:00
1769612400000,3011.19,3019.93,2981.08,3006.12,80099.43,240269788.6299,2026-01-28 15:00:00+00:00
1769616000000,3006.12,3016.67,2994.11,2997.98,32907.16,98840057.6439,2026-01-28 16:00:00+00:00
1769619600000,2997.98,3030.83,2987.37,3013.52,54538.9,164193825.1531,2026-01-28 17:00:00+00:00
1769623200000,3013.52,3023.31,2998.49,3014.31,51451.7,154874402.873,2026-01-28 18:00:00+00:00
1769626800000,3014.31,3023.43,2994.44,3015.29,70271.55,211493327.9861,2026-01-28 19:00:00+00:00
1769630400000,3015.29,3036.98,3006.96,3010.72,45739.78,138167360.1542,2026-01-28 20:00:00+00:00
1769634000000,3010.72,3022.38,2995.0,3020.29,31253.38,94049112.2803,2026-01-28 21:00:00+00:00
1769637600000,3020.29,3026.62,3007.0,3017.13,20433.26,61625986.4168,2026-01-28 22:00:00+00:00
1769641200000,3017.13,3022.12,3006.09,3008.94,14374.01,43312352.2423,2026-01-28 23:00:00+00:00
1769644800000,3008.94,3011.86,2994.23,3007.96,21379.58,64196352.9368,2026-01-29 00:00:00+00:00
1769648400000,3007.96,3010.31,2985.37,2991.28,30529.05,91396986.5028,2026-01-29 01:00:00+00:00
1769652000000,2991.28,2998.18,2943.0,2957.89,111250.42,330058179.6661,2026-01-29 02:00:00+00:00
1769655600000,2957.89,2971.8,2946.0,2951.19,48042.53,142086382.6039,2026-01-29 03:00:00+00:00
1769659200000,2951.19,2959.53,2935.72,2958.09,31956.54,94230626.7756,2026-01-29 04:00:00+00:00
1769662800000,2958.09,2965.2,2946.54,2950.25,28655.91,84778685.2184,2026-01-29 05:00:00+00:00
1769666400000,2950.25,2958.37,2948.92,2954.88,17932.63,52966925.2319,2026-01-29 06:00:00+00:00
1769670000000,2954.88,2963.66,2953.86,2959.99,12871.81,38080984.3905,2026-01-29 07:00:00+00:00
1769673600000,2959.99,2968.58,2940.6,2951.05,50574.6,149281959.6351,2026-01-29 08:00:00+00:00
1769677200000,2951.05,2953.88,2940.3,2940.91,16750.16,49358849.3013,2026-01-29 09:00:00+00:00
1769680800000,2940.91,2948.26,2940.0,2943.14,13596.15,40033902.9478,2026-01-29 10:00:00+00:00
1769684400000,2943.14,2944.3,2921.7,2928.19,64329.28,188506252.1819,2026-01-29 11:00:00+00:00
1769688000000,2928.19,2937.43,2923.97,2935.13,20650.8,60546417.3924,2026-01-29 12:00:00+00:00
1769691600000,2935.13,2938.0,2929.65,2934.94,18046.96,52957892.4522,2026-01-29 13:00:00+00:00
1769695200000,2934.94,2935.66,2873.71,2874.53,117557.2,341404885.1341,2026-01-29 14:00:00+00:00
1769698800000,2874.53,2876.0,2794.21,2822.64,372225.22,1052060502.5014,2026-01-29 15:00:00+00:00
1769702400000,2822.64,2835.8,2800.08,2833.85,145957.72,410900513.2059,2026-01-29 16:00:00+00:00
1769706000000,2833.85,2859.78,2816.96,2823.21,120458.89,341846317.5448,2026-01-29 17:00:00+00:00
1769709600000,2823.21,2833.0,2752.05,2762.23,234687.65,654685294.4982,2026-01-29 18:00:00+00:00
1769713200000,2762.23,2810.0,2756.0,2796.19,119647.54,333250752.2332,2026-01-29 19:00:00+00:00
1769716800000,2796.19,2811.93,2787.5,2804.86,41324.98,115583170.2354,2026-01-29 20:00:00+00:00
1769720400000,2804.86,2824.45,2804.16,2818.5,36008.02,101327211.2524,2026-01-29 21:00:00+00:00
1769724000000,2818.5,2824.13,2808.45,2818.53,14949.9,42073797.8382,2026-01-29 22:00:00+00:00
1769727600000,2818.53,2826.09,2811.03,2820.8,26766.15,75486822.8201,2026-01-29 23:00:00+00:00
1769731200000,2820.8,2827.22,2800.45,2803.25,32747.59,92048557.6388,2026-01-30 00:00:00+00:00
1769734800000,2803.25,2812.0,2678.13,2745.69,295195.45,808812076.0209,2026-01-30 01:00:00+00:00
1769738400000,2745.69,2749.86,2697.28,2735.3,117418.48,319956372.9224,2026-01-30 02:00:00+00:00
1769742000000,2735.3,2747.14,2732.22,2739.39,28624.79,78416218.0271,2026-01-30 03:00:00+00:00
1769745600000,2739.39,2773.7,2736.38,2751.47,57180.59,157675268.7867,2026-01-30 04:00:00+00:00
1769749200000,2751.47,2759.51,2744.86,2745.61,21210.11,58359881.2113,2026-01-30 05:00:00+00:00
